Packet number,a_x,a_y,a_z,w_x,w_y,w_z
2,24,-72,16596,171,116,40
3,24,8,16424,67,188,-59
4,292,-112,16272,-18,357,33
5,136,-44,16292,6,77,65
6,372,56,16372,141,23,-123
7,-4,-44,16308,125,145,-90
8,92,152,16276,38,311,121
9,204,120,16332,8,355,-32
10,172,-92,16504,-64,283,-102
11,132,72,16476,284,-120,-122
12,0,28,16432,-9,184,-78
13,116,-80,16460,-15,211,12
14,224,12,16384,-55,341,-11
15,148,60,16348,180,104,11
16,44,4,16224,-65,347,-42
17,172,-96,16460,40,194,-119
18,0,-68,16360,51,149,-112
19,-40,-40,16384,46,487,12
20,388,-28,16712,63,350,20
21,-92,164,16192,14,296,52
22,108,-32,16400,70,73,-35
23,-12,80,16324,17,575,138
24,16,-16,16468,11,114,50
25,184,76,16488,54,133,18
26,40,172,16332,226,355,-6
27,272,36,16428,-84,377,-190
28,24,164,16476,154,-137,-101
29,-192,240,16260,201,238,-25
30,20,-52,16732,204,283,-188
31,268,-168,17024,415,168,-179
32,384,212,17408,825,78,-642
33,-132,-24,16844,979,671,-405
34,-196,168,16348,1009,651,-75
35,-372,128,16584,526,990,70
36,-392,404,16148,820,822,401
37,-220,92,16616,390,373,169
38,-436,280,16152,705,-165,-67
39,-696,-40,16668,449,331,420
40,-296,-280,16156,1119,25,904
41,44,416,15852,440,-922,112
42,0,1100,15120,487,-890,-25
43,320,1044,15552,-300,-561,-207
44,672,784,16256,-130,-649,-242
45,556,744,16360,-150,-94,-214
46,468,456,16620,-16,-29,-375
47,-16,560,16452,24,26,-136
48,-48,524,16460,-49,155,75
49,-4,424,16628,342,-14,104
50,-4,452,16580,181,320,-11
51,-32,244,16916,110,630,250
52,-308,472,16380,312,399,152
53,-128,548,15920,311,904,498
54,-124,520,16144,-206,408,481
55,212,964,16060,226,353,576
56,440,820,16364,-224,-64,220
57,472,864,16476,-64,338,148
58,204,812,16508,209,312,106
59,60,524,16252,-74,372,220
60,192,528,16376,72,-45,-32
61,-96,416,16308,-178,311,154
62,124,540,16804,719,-14,-257
63,252,868,16232,-293,-298,-340
64,888,592,16888,-96,-329,-225
65,8,776,16420,684,-108,35
66,-224,504,16492,596,151,39
67,-32,452,16624,54,-183,-107
68,80,712,16516,-170,-386,51
69,132,688,16312,-232,576,163
70,-120,644,16532,-1,323,168
71,112,792,16228,78,79,34
72,44,848,16412,191,118,40
73,264,628,16444,233,360,-16
74,-88,568,16584,156,316,47
75,48,460,16672,229,103,92
76,-80,596,16284,-61,86,88
77,152,588,16432,-180,370,-56
78,220,744,16548,-140,253,129
79,184,992,16084,-104,85,-116
80,92,728,16472,-194,267,-130
81,64,684,16308,-113,208,-129
82,52,540,16328,-50,223,-191
83,4,548,16364,-231,185,-198
84,-140,692,16304,-134,6,-77
85,52,560,16580,-93,392,-52
86,228,576,16456,6,222,-35
87,224,624,16544,229,-247,-160
88,-8,676,16244,195,313,35
89,224,680,16132,232,317,-18
90,196,692,16468,296,-40,-38
91,156,772,16128,391,-67,56
92,72,604,16356,232,442,-55
93,52,448,16688,331,-99,-71
94,48,804,16268,144,329,115
95,72,828,16352,-48,354,36
96,292,824,16188,-18,356,-122
97,-16,712,16368,27,369,18
98,224,736,16296,-74,196,-51
99,72,916,16024,-153,359,-92
100,-128,428,16548,-171,398,141
101,360,824,16328,-233,105,-84
102,-148,532,16544,-348,333,-102
103,176,684,16568,-246,131,-99
104,36,616,16276,-144,71,-87
105,-80,628,16604,-215,68,-70
106,84,660,16244,-73,108,-54
107,80,420,16576,-143,118,-46
108,152,672,16168,-164,368,-27
109,-160,484,16640,-44,187,-9
110,112,520,16316,127,-41,-10
111,60,656,16372,152,211,48
112,184,660,16440,20,108,-36
113,132,696,16184,92,199,37
114,84,592,16184,60,260,23
115,260,540,16396,174,-72,-17
116,-4,596,16208,-100,101,-53
117,-128,472,16316,-140,270,-6
118,-128,516,16688,-105,186,-16
119,156,612,16732,-36,-255,-176
120,-8,724,16076,-119,-364,-248
121,372,596,16836,23,62,27
122,416,684,16372,145,196,105
123,124,612,16320,236,-90,-16
124,84,604,16388,103,353,-22
125,168,704,16460,36,448,152
126,96,500,16480,259,282,124
127,32,704,16168,188,337,163
128,28,512,16300,222,266,26
129,20,664,16396,239,306,55
130,68,636,16916,153,827,201
131,-636,664,17352,-367,1767,254
132,-732,712,17472,-774,3978,840
133,-204,544,17480,-1746,10113,2567
134,-552,352,18320,-2972,17073,4147
135,-2896,-388,18180,-2631,15378,2334
136,-3576,12,14192,-2973,22502,3665
137,-4720,208,15832,-2912,31670,4299
138,-8576,36,12624,-2701,30194,2192
139,-10908,92,10876,-2744,32767,1316
140,-11724,336,9104,-1586,30768,2022
141,-12140,-140,6160,-169,32767,3582
142,-15632,96,3776,4,32767,2974
143,-14072,1152,1312,-722,32767,3145
144,-14072,976,-2896,-1035,31524,4366
145,-15248,624,-4604,189,21634,3339
146,-15408,1328,-7284,1453,9381,1239
147,-14460,1264,-7604,1566,5403,609
148,-15104,1032,-8984,2593,-988,-1460
149,-14680,612,-7336,2493,-234,-1514
150,-14312,912,-6164,2153,-1308,-995
151,-14396,640,-6436,1445,-2509,-1106
152,-14604,696,-6008,694,-301,-401
153,-14368,772,-6436,202,-1671,-542
154,-15228,184,-6140,34,-1119,-199
155,-14716,528,-6436,26,-1395,156
156,-15484,452,-5996,28,-3858,-127
157,-15068,544,-5796,6,-1422,399
158,-14288,684,-6340,-185,-2659,635
159,-14780,644,-5404,-55,-5,740
160,-14772,636,-5432,2,-967,389
161,-14744,564,-5664,93,42,189
162,-15140,532,-5620,600,-113,174
163,-15144,584,-5732,701,-1746,-19
164,-14900,832,-4872,447,-888,197
165,-15460,804,-4840,73,-3412,162
166,-16160,824,-4584,3,-7795,128
167,-17576,492,-4708,467,-16213,-263
168,-14172,1292,-1764,1099,-10055,669
169,-18792,228,-1488,617,-21447,-1577
170,-15084,1192,-280,649,-20873,-503
171,-15108,868,2916,128,-17761,-2398
172,-15296,-4,4592,-256,-26054,-2425
173,-12844,664,5172,669,-25397,-2937
174,-11692,-796,9052,617,-24984,-797
175,-11100,-372,10228,1463,-32768,-2519
176,-8192,-276,11248,2157,-30088,-1688
177,-5676,24,13892,2913,-30645,-1024
178,-3916,392,14168,3790,-32768,-513
179,-1796,1076,14796,4709,-32768,-1398
180,520,988,15252,4796,-32768,-3202
181,4752,1016,17404,3831,-32768,-3948
182,8776,2032,10768,3132,-32768,-3056
183,12116,2276,9392,3707,-29657,-1985
184,14604,3068,10004,4035,-19561,-1411
185,15432,2832,11056,2871,-16395,-105
186,16700,3292,8512,931,-10288,2109
187,15024,2476,8588,947,-6598,1953
188,17016,2564,7764,591,-5099,2352
189,15572,2140,7964,-201,-6401,1737
190,15668,2164,7052,-744,-3593,1576
191,15668,2280,6988,-637,-1518,886
192,15696,2192,6232,-605,-3000,463
193,15964,2208,5468,-145,-142,171
194,15528,2136,5912,-120,-809,-105
195,16072,1876,5548,-449,-705,-110
196,15180,1988,5660,-653,-359,-310
197,16652,2188,5688,-584,1283,25
198,16932,2160,6264,-378,1416,137
199,15736,1960,5780,-253,1122,-82
200,15988,1816,6740,-517,-225,-231
201,15760,1976,6356,-471,1420,-503
202,16624,2040,5380,-195,410,-468
203,15768,2172,5240,298,-264,-427
204,15720,2052,5996,216,-405,-171
205,16260,1932,5604,105,-2045,-193
206,15648,2012,5356,127,-1072,-215
207,16268,2048,5100,338,-3861,-579
208,15996,1880,4812,797,-6027,-939
209,16540,2064,3680,841,-6127,-487
210,15864,1836,4592,691,-7052,-592
211,15388,2120,3500,-210,-5413,-909
212,16104,2320,2756,-547,-6138,-966
213,17172,2836,2784,-830,-4860,-362
214,16964,2584,1316,-182,-4725,300
215,17048,2632,1668,354,-4636,818
216,17264,2216,1864,-107,-2443,892
217,17980,2388,956,-203,-2023,1138
218,17332,2068,2132,-472,-2028,928
219,17152,2232,-328,-247,-1678,1091
220,17472,2016,736,62,-2825,980
221,17464,1888,272,196,-1415,911
222,17708,1740,480,209,-108,950
223,17324,1548,460,-81,126,555
224,17028,1920,324,-66,72,83
225,16996,1520,380,-80,227,-121
226,17372,1592,76,41,1234,228
227,16592,1680,516,-15,123,-36
228,17820,1704,52,-56,1609,331
229,17708,1608,668,-165,637,252
230,17100,1696,684,-241,187,141
231,17072,1592,376,5,621,142
232,17552,1516,640,-3,1336,228
233,16840,1376,652,-69,-51,-17
234,17076,1380,928,-150,230,-119
235,17052,1508,684,-63,1131,73
236,17412,1640,612,18,387,-37
237,16824,1452,840,78,-229,-195
238,17852,1636,800,274,1477,-132
239,17524,1652,1400,36,2261,-77
240,17568,1600,1200,145,6022,-157
241,16948,1704,1520,-91,8270,-487
242,17304,2376,2876,-317,13722,1
243,18216,1188,4468,-403,19979,1838
244,16884,1292,6288,-1472,19762,1627
245,15412,1188,6444,-1326,23161,1587
246,13952,1028,8376,-1654,18608,1153
247,13248,1012,9308,-1785,26979,1844
248,11448,436,11732,-1501,32767,3292
249,9076,420,13448,-1656,32767,3975
250,5340,-140,14248,-1321,32767,4346
251,2888,-44,15020,-289,32767,4769
252,-2368,-224,15640,73,32767,4507
253,-4064,260,13628,1684,32767,4749
254,-8144,240,13376,857,32767,2703
255,-10896,272,11124,17,32767,2336
256,-11592,-928,6644,1251,32767,1180
257,-17452,1180,3776,718,32767,72
258,-14724,1416,1264,215,32767,338
259,-16048,760,-600,-170,22414,751
260,-15704,728,-4180,437,16755,1642
261,-17884,476,-5240,1896,10311,-719
262,-15552,780,-5728,2831,7178,-803
263,-15468,564,-5088,3282,3775,-969
264,-15784,356,-4884,3067,3037,-1150
265,-15300,612,-4824,2019,2889,-728
266,-15008,72,-5020,1277,2926,-1201
267,-14868,204,-6076,372,740,-1218
268,-14852,-72,-5888,-49,-98,-1177
269,-14180,120,-6352,30,-1005,-762
270,-14620,8,-6032,122,-37,-549
271,-14996,-200,-5676,221,-1326,-256
272,-15164,36,-6020,100,-885,-119
273,-15632,-60,-5588,-76,336,-331
274,-14992,-80,-5848,-199,1000,-119
275,-14896,-92,-5680,-79,607,340
276,-15280,-176,-5680,29,123,208
277,-15188,-176,-6044,132,873,-72
278,-15000,28,-5880,277,92,-356
279,-14988,-132,-5696,362,50,-67
280,-14916,-244,-5852,213,-72,68
281,-15388,-204,-5936,91,128,41
282,-14952,-216,-5816,-48,-924,-48
283,-14932,-276,-5588,-13,970,90
284,-14936,-192,-5596,63,364,118
285,-14712,-316,-5616,111,-1563,131
286,-15256,-372,-5464,75,956,-78
287,-15024,-264,-5592,109,-416,-243
288,-14996,32,-5156,-64,-3202,-32
289,-16276,-60,-5716,22,-4703,-344
290,-15308,-320,-4924,95,-7797,-140
291,-17468,-320,-3232,-165,-17925,-337
292,-16532,-612,-3276,240,-27811,-319
293,-14004,716,864,374,-15035,425
294,-17208,-960,4516,-430,-31045,-1756
295,-14984,-528,4324,-289,-32768,-2129
296,-12084,-704,9352,448,-30106,-2479
297,-11740,-1164,10984,827,-30060,-397
298,-8096,84,11684,2187,-29021,-1206
299,-6768,-792,14864,2052,-28381,-982
300,-4912,-508,14620,2315,-29026,-31
301,-2312,-60,15516,2085,-22861,109
302,-844,116,16892,2236,-18634,-81
303,676,236,15800,2746,-22285,-364
304,3156,504,16240,2979,-20296,-189
305,4644,424,15360,2526,-18683,858
306,5492,416,15924,2330,-16547,32
307,6332,1032,15388,1802,-15032,-341
308,7728,1036,14580,1340,-13542,-221
309,8672,1100,13932,1512,-14062,-377
310,10456,1552,13464,1320,-14510,-262
311,10992,1344,12032,1193,-12851,-373
312,12540,1416,11940,853,-12400,-186
313,12728,1012,11480,15,-15009,-303
314,13028,1644,8524,-6,-13243,-766
315,15044,1408,9724,-466,-14097,-536
316,13816,1520,6852,-1119,-22459,-1973
317,15036,1860,3520,-689,-14541,-1080
318,16476,1768,5780,-189,-11891,-493
319,16468,1880,3408,383,-10019,-64
320,18016,1632,4396,-393,-8251,723
321,18072,1836,3312,-575,-4726,900
322,18196,1808,3200,220,-2275,70
323,17316,1704,3176,576,-542,-654
324,17728,1616,1684,136,-2926,-913
325,16900,1784,1968,173,-404,-703
326,17800,1680,2348,458,269,-234
327,16908,1740,2352,349,-1412,-344
328,17752,1588,2084,-406,1510,-68
329,17112,1772,1340,-144,760,87
330,17284,1592,2952,7,3955,46
331,17220,1768,1832,-230,291,-123
332,16648,1780,1872,-120,277,172
333,17288,1760,2572,70,3382,430
334,17276,1660,2948,-171,-6,233
335,16296,1796,2636,-100,469,-66
336,16648,1684,2460,26,1674,74
337,17444,1640,2712,-30,294,84
338,16824,1560,2552,-104,-357,116
339,16956,1840,1920,137,135,143
340,16664,1584,3244,36,-53,68
341,16988,1652,2896,-301,-847,-122
342,16836,1748,2376,-227,-254,-194
343,16724,1800,2364,15,121,61
344,16644,1620,2440,-1,12,-7
345,17396,1492,2604,7,677,260
346,16828,1680,2528,-162,28,19
347,16824,1608,2332,-280,517,146
348,17224,1524,2880,-358,-242,-6
349,16888,1772,2320,-40,-25,-12
350,16932,1576,2600,-7,287,-138
351,16864,1452,2596,-7,-1600,-260
352,16396,1516,2272,63,1067,-244
353,16712,1792,1644,76,-359,-170
354,17452,1476,2976,57,494,135
355,17136,1704,2608,-65,37,18
356,16604,1640,2116,25,325,-7
357,17216,1580,2680,-22,1676,143
358,17204,1496,2976,-273,421,-4
359,17160,1604,2052,-81,-975,-122
360,17056,1560,2704,161,1269,-1
361,16800,1532,2444,101,-1111,-379
362,16720,1564,2448,42,-614,-263
363,16960,1576,2916,-219,377,-115
364,17120,1596,2804,-228,-39,-5
365,16828,1604,2568,-184,1964,-57
366,16600,1732,2316,-381,2123,-86
367,16656,1844,3352,-344,5046,311
368,17216,1820,2052,-28,16197,1534
369,17456,1140,6216,-343,19886,2317
370,16220,1024,6792,-1042,26111,3146
371,14640,580,9236,-849,32767,4362
372,12140,664,11388,-1192,26792,3998
373,9528,640,11356,-805,26376,2962
374,7776,140,14168,-363,26698,2222
375,6308,20,15520,-472,24465,1622
376,5940,-160,15192,-230,28546,2434
377,2516,-368,17012,-74,23871,1977
378,544,-224,17264,114,16808,527
379,104,-64,16452,192,8219,-69
380,-600,-184,16900,195,5459,-76
381,-164,-184,16504,17,3935,-63
382,-732,-60,16472,-163,2817,5
383,-1328,-4,15928,-1,1378,-258
384,-1140,-120,16160,-6,1235,-87
385,-924,-208,16452,46,676,-127
386,-1048,-232,16524,-146,652,-240
387,-1148,-164,16128,26,1155,7
388,-1232,-72,16064,157,1469,-60
389,-1016,-172,16292,-121,1183,26
