Packet number,a_x,a_y,a_z,w_x,w_y,w_z

>......>......1,108,52,16284,-2,146,-18
2,192,-8,16320,22,214,-30
3,116,56,16452,18,54,-1
4,124,-44,16304,10,148,29
5,172,96,16276,13,97,-3
6,148,8,16392,-7,-20,-25
7,100,-32,16404,2,-41,13
8,164,-8,16316,24,109,4
9,144,-88,16392,30,198,1
10,92,8,16344,2,56,30
11,56,-20,16372,23,51,16
12,180,8,16380,31,193,-35
13,100,28,16380,23,37,-9
14,244,-32,16272,28,50,11
15,44,-24,16332,28,20,-5
16,96,-32,16196,67,155,20
17,192,20,16296,29,-15,-4
18,172,0,16280,28,-112,-26
19,308,52,16264,25,50,13
20,220,28,16396,16,33,15
21,208,16,16460,34,-87,0
22,104,-84,16356,59,108,17
23,156,-60,16408,59,-20,1
24,140,4,16412,19,-26,-34
25,284,-12,16360,62,144,4
26,136,24,16312,80,151,2
27,212,-32,16264,18,49,12
28,160,24,16240,51,74,-25
29,80,84,16464,33,7,-25
30,88,136,16444,29,62,-14
31,212,96,16312,42,34,29
32,116,0,16296,37,64,16
33,224,-32,16364,34,118,-22
34,164,-64,16428,54,74,-23
35,156,-128,16192,47,155,16
36,156,-8,16324,59,180,9
37,212,40,16344,54,-1,25
38,132,-104,16264,43,-55,-6
39,260,-40,16348,51,152,-4
40,120,16,16384,41,60,30
41,116,8,16300,36,-22,9
42,216,-8,16424,31,68,24
43,204,4,16260,74,160,-19
44,104,8,16344,48,73,-53
45,124,4,16292,49,84,-17
46,208,-68,16440,54,55,-16
47,132,12,16196,35,115,-3
48,44,-48,16296,44,76,21
49,64,-32,16444,53,61,-44
50,148,-68,16352,37,-32,-46
51,52,-112,16332,29,17,-8
52,144,-88,16384,67,109,26
53,124,24,16236,58,105,-18
54,172,20,16264,70,70,-31
55,52,20,16224,67,87,-18
56,148,-108,16208,68,183,-37
57,108,-32,16256,63,112,3
58,220,-20,16324,63,165,23
59,204,156,16284,92,99,-14
60,144,116,16292,38,65,-59
61,200,64,16212,84,39,-78
62,156,8,16208,60,49,-47
63,152,-32,16396,36,60,-45
64,112,-80,16412,58,88,9
65,60,0,16292,76,88,-40
66,184,60,16212,67,-39,-63
67,36,40,16344,69,-9,-170
68,204,-4,16396,65,-7,-324
69,148,12,16324,58,-160,-702
70,192,-4,16412,63,-164,-180
71,200,36,16332,62,129,-52
72,184,-60,16396,64,-15,-24
73,48,-44,16460,30,-109,-167
74,-144,-68,16264,78,-36,-476
75,236,-16,16272,60,-406,-107
76,-872,796,15980,194,-347,-1197
77,588,-380,16764,-31,-1606,-518
78,-248,424,16552,1366,-2071,-789
79,-16,796,20272,-1270,560,2103
80,816,-176,19956,-2049,1715,1805
81,620,-376,20040,-586,1698,15
82,420,344,20756,-413,2392,-679
83,-584,1268,21176,2055,4010,-1118
84,-220,1340,21088,2449,6668,-871
85,-608,1364,21988,3805,7671,-508
86,-732,1692,22204,2994,6608,-2107
87,-640,2240,20704,2915,5036,-3319
88,-192,2232,18520,3035,4407,-3456
89,-260,1980,16912,2629,5802,-4881
90,-476,1336,15488,2704,7440,-3629
91,-112,1700,13532,2214,3379,-3186
92,-1080,2164,11332,1803,2773,-3466
93,464,1716,9632,835,2305,-5044
94,-224,1956,8300,180,935,-5582
95,-948,2332,7924,-289,-44,-6109
96,-496,1644,6976,-835,-376,-6152
97,-776,760,7644,-1774,-1924,-6733
98,-1336,240,8756,-2460,-3280,-7527
99,-1892,-496,8708,-820,-5368,-8777
100,-1836,-1540,9916,-1718,-5386,-8414
101,-3380,-2408,12648,-3051,-3202,-7669
102,-3876,-4096,14304,-2637,-4081,-6552
103,-2916,-4880,15916,-1977,-4985,-7226
104,-1712,-7084,16232,-1649,-4258,-7462
105,-2392,-5008,18508,1235,-4913,-3112
106,-1424,-3908,20376,-335,-2644,-3141
107,-2836,-3608,21448,-2608,-2284,-2923
108,-1200,-2900,19532,-1268,-2612,-3507
109,-400,-2380,19560,1106,2067,-1526
110,-1764,-1108,19180,-478,2225,-972
111,-208,-2368,19748,-1473,1293,-2309
112,512,-1436,30048,4161,9011,12754
113,-200,1112,14808,-1375,1169,-4116
114,-4716,-16552,15252,-512,-738,-7727
115,-716,-1332,16340,2729,-1529,-2412
116,-940,-660,16920,2874,-1724,7
117,-608,-528,16800,2796,-1784,242
118,-740,-400,16632,1314,-830,104
119,-768,-244,16244,943,-634,61
120,-616,-260,16264,988,-655,61
121,-480,-148,16480,803,-540,23
122,-536,-84,16544,834,-521,27
123,-392,-112,16452,321,-74,-25
124,-428,-88,16380,169,-25,12
125,-480,-16,16288,53,76,-121
126,-552,-24,16512,-25,69,-60
127,-472,-68,16416,-102,99,-89
128,-444,-136,16320,-44,56,-76
129,-416,-12,16256,83,6,-67
130,-424,60,16460,95,3,-16
131,-460,12,16320,127,1,2
132,-472,24,16364,153,2,48
133,-428,-48,16448,12,43,-84
134,-388,40,16412,122,-3,-61
135,-512,-60,16416,257,-37,-36
136,-456,8,16388,9,79,-9
137,-428,44,16256,-6,82,28
138,-348,-28,16304,4,63,5
139,-508,16,16156,5,116,-45
140,-444,16,16424,33,72,-36
141,-424,88,16332,20,81,-31
142,-396,36,16356,33,116,-10
143,-352,44,16392,56,100,-85
144,-440,-4,16356,72,109,-67
145,-388,148,16372,37,77,-59
146,-404,60,16320,44,92,-9
147,-380,-12,16244,33,123,-12
148,-416,-4,16172,35,110,-10
149,-476,56,16316,4,107,-99
150,-448,80,16284,21,98,-64
151,-440,-68,16080,-1,148,-15
152,-404,-8,16200,-20,108,-70
153,-400,-80,16188,-9,103,-97
154,-312,-52,16228,-31,164,-84
155,-456,68,16068,-17,227,-114
156,-412,0,16088,-61,126,-19
157,-484,28,16116,-81,145,-89
158,-384,60,16060,-74,111,-103
159,-476,56,15976,-90,175,-101
160,-420,124,16120,-96,201,-86
161,-436,44,16040,-86,183,-66
162,-396,52,16040,-108,312,-152
163,-376,4,15988,-102,251,-154
164,-492,52,16024,-133,159,-84
165,-424,-8,16096,-184,167,-65
166,-464,48,16092,-147,129,-109
167,-468,-4,15948,-171,207,-117
168,-484,240,15940,-171,168,-60
169,-392,88,15864,-208,181,-103
170,-500,116,15828,-198,174,-117
171,-472,-32,15884,-208,145,-122
172,-512,0,15788,-256,115,-75
173,-440,16,15848,-258,105,-83
174,-452,116,15804,-271,138,-68
175,-480,-16,15708,-235,113,-87
176,-508,8,15828,-211,117,-95
177,-420,68,15804,-180,94,-70
178,-456,12,16032,-172,116,-90
179,-492,68,15616,-206,140,-98
180,-436,40,16080,-238,235,-36
181,-588,-128,16948,-608,430,-430
182,-1004,192,17324,-3633,2394,-739
183,-2632,-304,24216,436,3066,-1304
184,-4000,180,26276,-1674,862,-2620
185,-3940,-748,25404,-3148,3162,-4947
186,-3744,-3848,21608,-995,7755,966
187,-5252,-3716,20044,-623,7998,-1692
188,-5132,-4488,18204,-1632,9083,-1753
189,-6224,-4072,15704,-2037,8365,-1870
190,-6536,-5720,13280,-2331,7640,1613
191,-4520,-6324,9240,-4763,3075,7475
192,-6048,-5152,8240,-2067,2172,4636
193,-5452,-5368,6868,-504,1672,5374
194,-4404,-4700,4188,-2090,-2256,5816
195,-4296,-3248,4964,-2229,-2801,6197
196,-3112,-2800,6264,-415,-4477,5323
197,-3228,-2144,8264,469,-6135,5051
198,-3072,-1224,11160,-2,-6531,5144
199,-1600,-1412,12592,-67,-6920,4333
200,-1008,-1348,14220,-517,-6815,4691
201,144,-160,15248,-1048,-5631,4138
202,1548,-244,16192,-276,-6285,3294
203,2072,1064,17952,-1444,-5476,2056
204,3236,916,17768,-2627,-6222,520
205,3908,1316,18668,-1649,-5378,-143
206,4172,772,19588,1131,-4250,-91
207,2996,-804,19624,1370,-4492,725
208,1580,180,19844,351,-2006,1108
209,2148,-980,19612,2283,-571,1154
210,2036,-444,19348,974,-2199,405
211,1588,-460,18028,1128,-1445,-132
212,1436,-400,17712,619,-665,348
213,2004,-816,17580,-218,-828,262
214,1832,-604,17536,-156,-353,98
215,2756,144,24336,11721,-11561,-277
216,1768,-496,19316,4096,-1609,139
217,1524,-400,15808,538,-310,396
218,1664,-216,15444,3158,-1651,304
219,1532,8,16352,1268,941,28
220,1524,4,16292,476,478,19
221,1352,216,16304,378,393,-263
222,1900,-292,16460,637,556,-194
223,1428,104,16308,313,266,-77
224,1356,200,16220,327,271,9
225,1332,200,16356,292,290,-35
226,1372,264,16344,151,160,-23
227,1200,180,16300,134,195,33
228,1408,260,16264,-56,83,-33
229,1336,256,16284,-10,81,-38
230,1428,224,16220,25,149,-45
231,1284,184,16132,156,187,-7
232,1348,220,16140,180,179,-37
233,1356,312,16220,258,220,1
234,1332,280,16276,392,293,5
235,1296,224,16264,302,273,6
236,1280,276,16248,-66,29,-22
237,1292,268,16144,-16,60,-16
238,1368,364,16228,-20,48,-20
239,1228,244,16172,58,120,-29
240,1224,212,16288,123,162,-48
241,1300,260,16304,61,126,45
242,1272,388,16312,17,63,-2
243,1236,316,16340,-26,31,-57
244,1288,332,16204,30,83,-42
245,1244,300,16236,-68,0,-46
246,1312,312,16244,-58,15,2
247,1244,208,16172,-69,-16,-24
248,1308,172,15980,-87,40,-27
249,1284,252,16292,1,89,-46
250,1300,176,15964,-75,23,-30
251,1212,192,16072,64,76,-2
252,1268,332,16140,32,79,-26
253,1256,292,16300,-92,-11,12
254,1368,172,16292,-133,7,-26
255,1192,320,16292,17,99,-34
256,1264,240,16192,-36,19,-9
257,1272,108,16180,-18,56,-71
258,1264,204,16256,103,102,-83
259,1452,280,16152,164,171,-52
260,1316,240,16332,42,135,-15
261,1360,188,16348,36,114,-47
262,1400,212,16332,4,43,-47
263,1368,304,16204,12,114,-5
264,1392,144,16376,-22,32,-35
265,1404,232,16428,-55,9,-85
266,1324,272,16196,-104,-18,-75
267,1384,240,16176,21,106,4
268,1412,140,16236,-70,0,-13
269,1380,88,16112,12,81,-46
270,1360,132,16196,83,149,-30
271,1304,256,16160,27,58,-47
272,1312,228,16224,-33,46,31
